experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,5,0.9,116,15,0.12931034482758622,1,15,0.0005673413629525424,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,15,0.12931034482758622,1,15,0.0006441799291511772,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,16,0.13793103448275862,0,18,0.0007606181742959648,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,16,0.13793103448275862,0,13,0.0008163692636474779,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,16,0.13793103448275862,0,16,0.0008262014102480764,residual_small
weak_phase,SNIHT,gaussian,5,0.9,116,16,0.13793103448275862,1,13,0.0005847553691774671,residual_small
weak_phase,SNIHT,gaussian,10,0.15,20,4,0.2,1,14,8.87094932717598e-05,residual_small
weak_phase,SNIHT,gaussian,10,0.15,20,4,0.2,1,21,0.00010662911515852559,residual_small
weak_phase,SNIHT,gaussian,10,0.15,20,4,0.2,1,20,0.00014354552655655866,residual_small
weak_phase,SNIHT,gaussian,10,0.15,20,4,0.2,1,14,0.00011912243614247854,residual_small
weak_phase,SNIHT,gaussian,10,0.15,20,5,0.25,0,42,1.342907089155833,stagnation
weak_phase,SNIHT,gaussian,10,0.15,20,5,0.25,0,39,1.9978636441865703,stagnation
weak_phase,SNIHT,gaussian,10,0.15,20,5,0.25,1,27,0.00015121444537225944,residual_small
weak_phase,SNIHT,gaussian,10,0.15,20,5,0.25,1,26,0.00013919389207230778,residual_small
weak_phase,SNIHT,gaussian,10,0.15,20,6,0.3,1,39,0.00014813449107743877,residual_small
weak_phase,SNIHT,gaussian,10,0.15,20,6,0.3,0,43,1.7377591491851905,stagnation
weak_phase,SNIHT,gaussian,10,0.15,20,6,0.3,0,38,1.257993027035705,stagnation
weak_phase,SNIHT,gaussian,10,0.15,20,6,0.3,0,45,1.1838209806967837,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,21,0.4666666666666667,0,90,1.4451022433868295,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,21,0.4666666666666667,0,90,1.7900667942213833,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,21,0.4666666666666667,0,65,2.6877019447435484,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,21,0.4666666666666667,0,77,1.4745625865792045,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,22,0.4888888888888889,1,99,0.0003279089029823303,residual_small
weak_phase,SNIHT,gaussian,10,0.35,45,22,0.4888888888888889,0,89,2.2267067428011686,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,22,0.4888888888888889,0,87,1.7582079726607633,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,22,0.4888888888888889,0,74,3.4022870264786187,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,23,0.5111111111111111,0,98,2.6248435397040883,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,23,0.5111111111111111,1,115,0.0003224974973772502,residual_small
weak_phase,SNIHT,gaussian,10,0.35,45,23,0.5111111111111111,0,73,3.4899409414812363,stagnation
weak_phase,SNIHT,gaussian,10,0.35,45,23,0.5111111111111111,0,103,0.000347095741357246,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,21,0.29577464788732394,1,43,0.00046449161589100566,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,21,0.29577464788732394,1,43,0.0004822974162532944,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,21,0.29577464788732394,1,36,0.00046996473930352504,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,21,0.29577464788732394,1,34,0.0004521668879053946,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,22,0.30985915492957744,0,55,0.00047764953256166325,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,22,0.30985915492957744,0,41,0.0005448150449295209,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,22,0.30985915492957744,1,31,0.000503497361710866,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,22,0.30985915492957744,0,47,0.0005138793503021857,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,23,0.323943661971831,0,42,0.0005518279042161603,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,23,0.323943661971831,0,53,0.000476420791388553,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,23,0.323943661971831,1,36,0.00048499849252408515,residual_small
weak_phase,SNIHT,gaussian,10,0.55,71,23,0.323943661971831,1,40,0.0004713306361278527,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,17,0.17708333333333334,0,17,0.0007474214959289561,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,17,0.17708333333333334,1,22,0.0005373366975966559,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,17,0.17708333333333334,0,19,0.0006898110411255392,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,17,0.17708333333333334,1,19,0.000654656632983165,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,18,0.1875,1,20,0.0006104091152200135,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,18,0.1875,1,20,0.0006090216626026098,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,18,0.1875,1,20,0.0005411176880775093,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,18,0.1875,1,20,0.0006768622541674989,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,19,0.19791666666666666,1,25,0.0005492688819136262,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,19,0.19791666666666666,1,22,0.000601742351530011,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,19,0.19791666666666666,1,26,0.0005732337058695055,residual_small
weak_phase,SNIHT,gaussian,10,0.75,96,19,0.19791666666666666,1,20,0.0005426850241271402,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,14,0.1206896551724138,1,15,0.0007427634658601341,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,14,0.1206896551724138,0,16,0.0008287489032213225,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,14,0.1206896551724138,1,16,0.0006032011866672863,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,14,0.1206896551724138,0,13,0.0008151059239410036,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,15,0.12931034482758622,0,14,0.00083535301713493,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,15,0.12931034482758622,1,16,0.0006880033015482989,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,15,0.12931034482758622,0,13,0.0008435036718843868,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,15,0.12931034482758622,0,19,0.0008440108764181136,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,16,0.13793103448275862,0,17,0.0007445665029019219,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,16,0.13793103448275862,1,15,0.000552871542838591,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,16,0.13793103448275862,0,15,0.0008742905564027186,residual_small
weak_phase,SNIHT,gaussian,10,0.9,116,16,0.13793103448275862,1,16,0.000518852844607267,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,0,0.0,1,1,0.0,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,0,0.0,1,1,0.0,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,0,0.0,1,1,0.0,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,0,0.0,1,1,0.0,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,1,0.05,1,1,0.0,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,1,0.05,1,1,0.0,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,1,0.05,1,1,0.0,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,1,0.05,1,1,0.0,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,2,0.1,0,127,0.7710208549425752,slow_late_rate
weak_phase,SNHTP,gaussian,1,0.15,20,2,0.1,1,2,1.7897100990828155e-16,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,2,0.1,1,2,1.576213700060856e-16,residual_small
weak_phase,SNHTP,gaussian,1,0.15,20,2,0.1,1,2,2.3305414327417173e-16,residual_small
weak_phase,SNHTP,gaussian,1,0.35,45,12,0.26666666666666666,0,23,0.7910882225565922,stagnation
weak_phase,SNHTP,gaussian,1,0.35,45,12,0.26666666666666666,0,21,0.804204279284348,stagnation
weak_phase,SNHTP,gaussian,1,0.35,45,12,0.26666666666666666,0,20,0.6752939164163689,stagnation
weak_phase,SNHTP,gaussian,1,0.35,45,12,0.26666666666666666,0,20,0.6383507376929358,stagnation
weak_phase,SNHTP,gaussian,1,0.35,45,13,0.28888888888888886,0,21,0.9932472778822196,stagnation
weak_phase,SNHTP,gaussian,1,0.35,45,13,0.28888888888888886,0,21,0.8910137297060474,stagnation
